Airdrie,24673
Athabasca,2539
Banff,7502
Barrhead,4430
Bassano,1388
Beaumont,7366
Beaverlodge,2219
Black Diamond,3663
Blackfalds,3198
Bon Accord,1611
Bonnyville,6003
Bow Island,2025
Brooks,12744
Calgary,1019942
Calmar,2000
Camrose,15686
Canmore,12288
Cardston,3654
Carstairs,2370
Chestermere,3590
Claresholm,3808
Coaldale,6317
Coalhurst,1552
Cochrane,16365
Cold Lake,11595
Crossfield,2512
Devon,5225
Didsbury,4134
Drayton Valley,6099
Edmonton,712391
Edson,7975
Elk Point,1514
Fairview,3312
Falher,1166
Fort Macleod,3060
Fort McMurray,76000
Fort Saskatchewan,14957
Fox Creek,2457
Gibbons,2790
Grande Cache,4025
Grande Prairie,41462
Grimshaw,2560
Hanna,3140
High Level,3621
High Prairie,2878
High River,9826
Hinton,9889
Irricana,1091
Jasper Park Lodge,3907
Killam,1056
Lac La Biche,2919
Lacombe,10059
Lamont,1779
Leduc,15561
Lethbridge,70617
Lloydminster,27000
Magrath,2095
Manning,1359
Mayerthorpe,1651
Medicine Hat,63138
Millet,2142
Morinville,8108
Nanton,1936
Okotoks,14826
Olds,6947
Peace River,5340
Penhold,1818
Picture Butte,2175
Pincher Creek,3855
Ponoka,6656
Provost,2082
Raymond,3365
Red Deer,73593
Rimbey,2227
Rocky Mountain House,6527
Sexsmith,1743
Sherwood Park,55063
Slave Lake,7661
Smoky Lake,1063
Spirit River,1157
Spruce Grove,17767
St. Albert,57719
Stettler,5494
Stony Plain,8939
Strathmore,10009
Sundre,2384
Swan Hills,1900
Sylvan Lake,10518
Taber,8163
Three Hills,3051
Tofield,1911
Two Hills,1147
Valleyview,1951
Vegreville,5678
Vermilion,4151
Viking,1106
Vulcan,1853
Wainwright,5380
Wembley,1574
Westlock,5067
Wetaskiwin,11302
Whitecourt,8763
